Part,Value,Device,Package,Description,MPN,DKN,,,Manu
RESET,SPST_TACT,SPST_TACT,EVQ-Q2-A,"SMT 6mm switch, EVQQ2 series",FSM4JSMA,450-1129-ND,,,
U1,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U2,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U3,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U4,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U5,ADS8331IBPW,ADS8331IBPW,SOP65P640X120-24N,"Low-Power, 16-Bit, 500kSPS, 4-Channel Unipolar Input ADC",ADS8331IBPW,296-28266-5-ND,27T6163,TSSOP-24,Texas Instruments
U6,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,ANALOG-TO-DIGITAL CONVERTERS with Serial Interface,OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U7,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U8,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U9,OPA365AIDBVR,OPA365AIDBVR,SOT95P280X145-5N,"50MHz, Low-Distortion, High CMRR RRI/O, Single-Supply OPERATIONAL AMPLIFIER",OPA365AIDBVR,296-20645-1-ND,03M9400,SOT-23-5,Texas Instruments
U10,AD5686,AD5686RARUZ,MO-153-AB,"Quad, 16-Bit nanoDAC+",AD5686ARUZ,AD5686ARUZ-ND,,,
U11,LM2663,LM2663,SOIC127P600X175-8N,with SPI Interface,LM2663M/NOPB,LM2663M/NOPB-ND,,,
U12,MAX1735EUK25+T,MAX1735EUK25+T,SOT95P280X145-5N,"200mA, Negative-Output, Low-Dropout  Linear Regulator in SOT23",MAX1735EUK25+T,MAX1735EUK25+TCT-ND,68K9417,SOT-23-5,Maxim
U13,TLV70245DBVT,TLV70025DDCR,SOT95P280X110-5N,"200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices",TLV70245DBVT,296-30480-1-ND,64R0678,TSOT-23-5,Texas Instruments
U14,REF5040MDREP,REF5040MDREP,SOIC127P600X175-8N,"LOW-NOISE, VERY LOW DRIFT, PRECISION VOLTAGE REFERENCE",REF5040MDREP,296-27431-1-ND,79R8283,SOIC-8,Texas Instruments
U15,AD8032ARZ-REEL7,AD8032ARZ-REEL7,SOIC127P600X175-8N,Rail-to-Rail I/O Amplifiers,AD8032ARZ,AD8032ARZ-ND,82H2954,SOIC-8,Analog Devices
U16,24C,24C,SO-08,Serial EEPROM,CAT24C256WI-GT3,CAT24C256WI-GT3OSCT-ND,,SOIC-8,
